id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link
954700858628984832,2018-01-20,13:03:16,SE Asia Standard Time,39393977,irzaip,I posted a new video to Facebook  https://fb.me/9oq4p3WE2 ,0,0,0,,[],https://twitter.com/irzaip/status/954700858628984832/
954596700626341888,2018-01-19,06:09:23,SE Asia Standard Time,39393977,irzaip,Alhamdulillah makan enak di malang. #TOTBengis #kickassCF #HCIElite #GTrainer,0,0,0,,"['#TOTBengis', '#kickassCF', '#HCIElite', '#GTrainer']",https://twitter.com/irzaip/status/954596700626341888/
954449713067167750,2018-01-19,20:25:19,SE Asia Standard Time,39393977,irzaip,Tolong like status ini#TOTBengis#GTrainer#kickassCF — bersyukur,0,0,1,,"['#TOTBengis', '#GTrainer', '#kickassCF']",https://twitter.com/irzaip/status/954449713067167750/
954447784756817921,2018-01-19,20:17:39,SE Asia Standard Time,39393977,irzaip,Anda ingin mengendalikan sebuah tim yang tangguh? Anda ingin menjadi pemimpin yang produktif? Atau mungkin anda...  https://fb.me/99WuijC3X ,0,0,1,,[],https://twitter.com/irzaip/status/954447784756817921/
954446128220647424,2018-01-19,20:11:04,SE Asia Standard Time,39393977,irzaip,Anda seorang pebisnis yang ingin mengembangkan bisnis anda menjadi berlipat-lipat nilainya? Atau anda baru mulai...  https://fb.me/OuBjKCGt ,0,0,0,,[],https://twitter.com/irzaip/status/954446128220647424/
954443923698614272,2018-01-19,20:02:18,SE Asia Standard Time,39393977,irzaip,Pemimpin harus bisa membangun kesadaran.#TOTBengis#KickassCF#GTrainer,0,0,0,,"['#TOTBengis', '#KickassCF', '#GTrainer']",https://twitter.com/irzaip/status/954443923698614272/
954439541133373441,2018-01-19,19:44:53,SE Asia Standard Time,39393977,irzaip,"""Pemimpin harus bisa belajar dari kegagalannya""#GTrainer#TOTBengis#kickassCF",0,0,0,,"['#GTrainer', '#TOTBengis', '#kickassCF']",https://twitter.com/irzaip/status/954439541133373441/
953998207880781824,2018-01-18,14:31:11,SE Asia Standard Time,39393977,irzaip, https://fb.me/CKpcuG5n ,0,0,0,,[],https://twitter.com/irzaip/status/953998207880781824/
953997949926768640,2018-01-18,14:30:10,SE Asia Standard Time,39393977,irzaip,"Abis mikir, futsaaaal duluuuu. Dikalahkan #kickassCF, waktu lagi #TOTBengis,Salam #GTrainer  https://fb.me/xnDV0PMC ",0,0,0,,"['#kickassCF', '#TOTBengis', '#GTrainer']",https://twitter.com/irzaip/status/953997949926768640/
953991596638433281,2018-01-18,14:04:55,SE Asia Standard Time,39393977,irzaip,"Mencari alamat buat projects winning #TOTBengis intervention, ternyata salah jalan. Karena minim pengetahuan.... https://fb.me/9w03wV3dC ",0,0,0,,['#TOTBengis'],https://twitter.com/irzaip/status/953991596638433281/
